,고객ID,성별,고객지역,가입기간,recency,frequency,monetary,제품카테고리,쿠폰상태,평균구매가치,고객가치,고객수명,고객생애가치,vip
0,USER_1358,남,Chicago,12,340,297,36683.62,Nest-USA,Clicked,123.51387205387206,36683.62,1,36683.62,non-vip
1,USER_0190,남,California,43,14,44,3069.51,Nest-USA,Clicked,69.76159090909091,3069.51,10,30695.100000000002,vip
2,USER_0066,남,Chicago,33,152,42,3024.89,Apparel,Clicked,72.02119047619047,3024.89,6,18149.34,non-vip
3,USER_0345,여,California,30,365,1,7.74,Lifestyle,Clicked,7.74,7.74,1,7.74,non-vip
4,USER_0683,남,California,49,124,6,883.78,Nest-USA,Clicked,147.29666666666665,883.78,7,6186.46,non-vip
5,USER_0730,남,California,32,79,35,1103.85,Apparel,Clicked,31.538571428571426,1103.85,8,8830.8,non-vip
6,USER_0585,여,New York,46,33,58,7407.37,Nest-USA,Clicked,127.71327586206897,7407.37,10,74073.7,잠재적vip
7,USER_1347,여,New Jersey,24,331,15,823.87,Lifestyle,Clicked,54.92466666666667,823.87,1,823.87,non-vip
8,USER_0736,여,Chicago,40,13,587,77896.38,Apparel,Clicked,132.7025212947189,77896.38,10,778963.8,vip
9,USER_0541,남,California,43,33,199,16610.24,Apparel,Clicked,83.46854271356784,16610.24,10,166102.40000000002,vip
10,USER_0922,남,Chicago,49,364,12,896.87,Apparel,Not Used,74.73916666666666,896.8699999999999,1,896.8699999999999,non-vip
11,USER_1421,여,California,10,364,13,1871.75,Nest-USA,Clicked,143.98076923076923,1871.75,1,1871.75,non-vip
12,USER_1249,여,New York,19,364,7,589.52,Apparel,Clicked,84.21714285714286,589.52,1,589.52,non-vip
13,USER_0906,여,Washington DC,40,6,52,5355.34,Nest-USA,Clicked,102.9873076923077,5355.34,10,53553.4,vip
14,USER_0954,여,California,30,364,14,2082.25,Nest-USA,Clicked,148.73214285714286,2082.25,1,2082.25,non-vip
15,USER_0025,여,New Jersey,14,41,44,5630.03,Nest-USA,Clicked,127.95522727272727,5630.03,9,50670.27,잠재적vip
16,USER_1267,여,Chicago,25,22,213,18226.01,Apparel,Clicked,85.56812206572769,18226.01,10,182260.09999999998,vip
17,USER_1277,남,Chicago,50,363,7,578.58,Nest-USA,Clicked,82.65428571428572,578.58,1,578.58,non-vip
18,USER_0337,여,Chicago,39,363,10,1298.23,Nest-USA,Clicked,129.823,1298.23,1,1298.23,non-vip
19,USER_0344,여,Chicago,21,363,1,160.21,Nest-USA,Clicked,160.21,160.21,1,160.21,non-vip
20,USER_0281,남,Chicago,30,33,78,8584.99,Apparel,Clicked,110.06397435897436,8584.99,10,85849.9,잠재적vip
21,USER_0351,여,Chicago,29,138,73,6016.63,Nest-USA,Used,82.41958904109589,6016.63,7,42116.41,non-vip
22,USER_1383,남,New Jersey,26,178,5,290.25,Apparel,Clicked,58.05,290.25,6,1741.5,non-vip
23,USER_0284,여,California,41,225,36,2715.37,Nest-USA,Clicked,75.42694444444444,2715.37,4,10861.48,non-vip
24,USER_0867,여,California,24,363,64,9484.9,Nest-USA,Clicked,148.2015625,9484.9,1,9484.9,non-vip
25,USER_0783,여,Chicago,21,54,46,5042.48,Apparel,Clicked,109.6191304347826,5042.48,9,45382.31999999999,잠재적vip
26,USER_0130,여,Washington DC,26,363,2,141.02,Apparel,Clicked,70.51,141.02,1,141.02,non-vip
27,USER_0947,남,Chicago,40,362,28,3798.41,Nest-USA,Clicked,135.6575,3798.41,1,3798.41,non-vip
28,USER_0412,여,California,14,159,5,151.69,Office,Clicked,30.338,151.69,6,910.14,non-vip
29,USER_0484,여,California,28,100,79,8133.6,Apparel,Clicked,102.95696202531646,8133.6,8,65068.8,잠재적vip
30,USER_1378,여,California,15,362,58,5850.94,Nest-USA,Clicked,100.87827586206896,5850.94,1,5850.94,non-vip
31,USER_1382,여,California,18,41,105,11600.9,Nest-USA,Clicked,110.4847619047619,11600.9,9,104408.09999999999,잠재적vip
32,USER_0138,여,California,31,361,59,5470.96,Drinkware,Clicked,92.72813559322034,5470.96,1,5470.96,non-vip
33,USER_0251,남,California,15,361,6,1296.35,Nest-USA,Clicked,216.0583333333333,1296.35,1,1296.35,non-vip
34,USER_1030,여,California,27,361,14,1936.81,Office,Clicked,138.34357142857144,1936.8100000000002,1,1936.8100000000002,non-vip
35,USER_1424,남,Chicago,34,125,29,2290.4,Apparel,Clicked,78.9793103448276,2290.4,7,16032.800000000001,non-vip
36,USER_0349,남,Washington DC,46,146,33,2237.49,Apparel,Clicked,67.80272727272727,2237.49,7,15662.429999999998,non-vip
37,USER_0334,여,California,44,12,104,6026.55,Apparel,Clicked,57.947596153846156,6026.55,10,60265.5,vip
38,USER_0895,남,New York,25,220,81,6248.03,Apparel,Clicked,77.13617283950617,6248.03,4,24992.12,non-vip
39,USER_0630,여,New Jersey,45,59,52,5230.22,Apparel,Clicked,100.58115384615385,5230.22,9,47071.98,잠재적vip
40,USER_1395,남,New York,33,360,85,8802.84,Office,Clicked,103.56282352941177,8802.84,1,8802.84,non-vip
41,USER_0946,남,New York,49,17,42,4023.47,Nest-USA,Clicked,95.79690476190476,4023.47,10,40234.7,vip
42,USER_1376,남,Washington DC,19,281,73,6362.58,Nest-USA,Clicked,87.1586301369863,6362.58,3,19087.739999999998,non-vip
43,USER_1236,남,Chicago,34,186,45,4069.82,Apparel,Used,90.44044444444445,4069.82,5,20349.100000000002,non-vip
44,USER_1020,여,California,27,359,5,476.83,Apparel,Used,95.366,476.83,1,476.83,non-vip
45,USER_1175,여,New York,49,359,2,340.01,Apparel,Clicked,170.005,340.01,1,340.01,non-vip
46,USER_1389,여,Chicago,36,177,10,895.43,Nest-USA,Clicked,89.54299999999999,895.43,6,5372.58,non-vip
47,USER_0595,남,Washington DC,43,358,71,8389.79,Nest-USA,Clicked,118.16605633802818,8389.79,1,8389.79,non-vip
48,USER_0118,여,Chicago,28,108,695,78655.49,Apparel,Clicked,113.17336690647483,78655.49,8,629243.92,non-vip
49,USER_0657,여,California,42,357,54,6116.92,Nest-USA,Clicked,113.2762962962963,6116.92,1,6116.92,non-vip
50,USER_0147,여,California,8,50,46,5822.8,Apparel,Clicked,126.58260869565218,5822.8,9,52405.200000000004,잠재적vip
51,USER_1284,여,Chicago,49,357,4,445.82,Drinkware,Clicked,111.455,445.82,1,445.82,non-vip
52,USER_0420,여,New York,7,357,13,2541.46,Apparel,Clicked,195.49692307692308,2541.46,1,2541.46,non-vip
53,USER_0403,여,New York,10,357,9,1142.45,Drinkware,Clicked,126.9388888888889,1142.45,1,1142.45,non-vip
54,USER_0085,남,Chicago,21,13,34,3227.6,Apparel,Used,94.92941176470588,3227.6,10,32276.0,vip
55,USER_0786,남,New York,48,357,57,8050.18,Nest-USA,Clicked,141.23122807017543,8050.179999999999,1,8050.179999999999,non-vip
56,USER_0466,여,Chicago,39,357,9,867.0,Drinkware,Used,96.33333333333333,867.0,1,867.0,non-vip
57,USER_1377,남,New York,42,171,28,1786.05,Apparel,Clicked,63.7875,1786.05,6,10716.3,non-vip
58,USER_0776,남,New York,25,147,43,2532.82,Apparel,Clicked,58.90279069767442,2532.82,6,15196.920000000002,non-vip
59,USER_0026,남,California,32,266,147,17418.69,Apparel,Clicked,118.49448979591835,17418.69,3,52256.06999999999,non-vip
60,USER_1129,여,New York,15,148,16,1321.74,Apparel,Clicked,82.60875,1321.74,6,7930.4400000000005,non-vip
61,USER_0745,남,California,48,356,5,582.25,Nest-USA,Clicked,116.45,582.25,1,582.25,non-vip
62,USER_0808,여,California,21,356,12,2255.9,Nest-USA,Clicked,187.99166666666667,2255.9,1,2255.9,non-vip
63,USER_1438,여,California,26,72,10,617.49,Nest-USA,Clicked,61.749,617.49,9,5557.41,non-vip
64,USER_0881,남,Chicago,29,344,12,726.73,Lifestyle,Clicked,60.560833333333335,726.73,1,726.73,non-vip
65,USER_0560,남,California,5,355,31,4674.96,Nest-USA,Clicked,150.8051612903226,4674.96,1,4674.96,non-vip
66,USER_0694,여,New Jersey,36,355,27,2270.75,Nest-USA,Clicked,84.10185185185185,2270.75,1,2270.75,non-vip
67,USER_0643,여,California,34,11,523,53338.78,Apparel,Clicked,101.98619502868068,53338.78,10,533387.8,vip
68,USER_0996,남,California,47,4,62,8119.79,Nest-USA,Clicked,130.96435483870968,8119.79,10,81197.9,vip
69,USER_1355,남,California,21,18,572,50786.24,Apparel,Clicked,88.78713286713287,50786.24,10,507862.39999999997,vip
70,USER_0034,여,New Jersey,2,63,126,12219.17,Nest-USA,Clicked,96.97753968253969,12219.17,9,109972.53,잠재적vip
71,USER_1224,여,New Jersey,12,210,47,3317.75,Apparel,Clicked,70.59042553191489,3317.75,5,16588.75,non-vip
72,USER_1303,여,California,33,354,8,616.6,Nest-USA,Clicked,77.075,616.6,1,616.6,non-vip
73,USER_1369,남,California,26,354,9,1213.52,Nest-USA,Clicked,134.83555555555554,1213.52,1,1213.52,non-vip
74,USER_0205,남,California,35,20,143,11955.5,Apparel,Clicked,83.6048951048951,11955.5,10,119555.0,vip
75,USER_0156,남,New York,49,165,59,6110.14,Nest-USA,Clicked,103.56169491525424,6110.14,6,36660.840000000004,non-vip
76,USER_0288,남,New York,33,20,79,8218.36,Apparel,Clicked,104.02987341772153,8218.36,10,82183.6,vip
