,고객ID,recency,frequency,monetary
0,USER_0000,4.6913478822291435,1.0986122886681098,5.151498079596578
1,USER_0001,4.110873864173311,4.110873864173311,9.526572728577317
2,USER_0002,4.31748811353631,3.1780538303479458,7.3195734966179655
3,USER_0003,2.9444389791664403,2.8903717578961645,7.19798161205617
4,USER_0004,4.6913478822291435,3.6109179126442243,7.535942516285349
5,USER_0005,4.882801922586371,2.833213344056216,6.538646207834627
6,USER_0006,5.25227342804663,4.5217885770490405,8.90246375543887
7,USER_0007,3.258096538021482,2.70805020110221,6.3003820434419175
8,USER_0008,3.7376696182833684,4.356708826689592,9.248102329354742
9,USER_0009,4.61512051684126,4.248495242049359,8.582366511026617
10,USER_0010,5.062595033026967,2.3978952727983707,6.42965495982885
11,USER_0011,4.7535901911063645,2.995732273553991,6.725033642166843
12,USER_0012,4.820281565605037,3.1354942159291497,7.6975390320258565
13,USER_0013,5.111987788356544,3.4965075614664802,7.353728732427794
14,USER_0014,4.564348191467836,2.4849066497880004,6.420353170159735
15,USER_0015,2.4849066497880004,3.295836866004329,7.820993356243713
16,USER_0016,4.890349128221754,3.295836866004329,8.030738177183686
17,USER_0017,2.9444389791664403,2.0794415416798357,6.460717894963014
18,USER_0018,4.955827057601261,3.871201010907891,8.00678081558489
19,USER_0019,4.330733340286331,3.4339872044851463,7.514723463300185
20,USER_0020,4.356708826689592,2.4849066497880004,7.565358180017191
21,USER_0021,4.6443908991413725,2.6390573296152584,6.821739769588087
22,USER_0022,5.159055299214529,2.833213344056216,6.689325599894147
23,USER_0023,5.147494476813453,2.6390573296152584,7.228402965256379
24,USER_0024,5.575949103146316,3.044522437723423,7.890975421538233
25,USER_0025,3.7376696182833684,3.8066624897703196,8.636047652890932
26,USER_0026,5.58724865840025,4.997212273764115,9.76535645461095
27,USER_0027,5.4116460518550396,1.3862943611198906,3.8624125048748117
28,USER_0028,2.9444389791664403,2.9444389791664403,7.8478836238923515
29,USER_0029,5.631211781821365,2.4849066497880004,7.317975729174162
30,USER_0030,4.653960350157523,4.624972813284271,9.201041269028085
31,USER_0031,2.70805020110221,1.9459101490553132,6.923343154323788
32,USER_0032,3.970291913552122,2.5649493574615367,7.2730995356007035
33,USER_0033,2.833213344056216,4.859812404361672,9.55817283616803
34,USER_0034,4.1588830833596715,4.844187086458591,9.410843144249116
35,USER_0035,4.127134385045092,3.6109179126442243,8.811905493789219
36,USER_0036,3.5553480614894135,3.332204510175204,8.050604524543298
37,USER_0037,3.332204510175204,1.0986122886681098,5.466032770952629
38,USER_0038,5.003946305945459,3.7612001156935624,7.324661355565888
39,USER_0039,5.030437921392435,3.8501476017100584,9.223977955954565
40,USER_0040,5.123963979403259,2.70805020110221,6.964872580865889
41,USER_0041,5.017279836814924,4.59511985013459,8.70021949981443
42,USER_0042,5.0238805208462765,2.772588722239781,6.765304224182961
43,USER_0043,4.8283137373023015,3.784189633918261,7.9802254884238035
44,USER_0044,5.111987788356544,2.0794415416798357,6.099107456123338
45,USER_0045,4.955827057601261,1.791759469228055,4.526451601276686
46,USER_0046,3.7612001156935624,5.081404364984463,9.262704143198905
47,USER_0047,2.833213344056216,3.4657359027997265,8.464943650496986
48,USER_0048,5.0689042022202315,0.6931471805599453,2.869601996409779
49,USER_0049,4.663439094112067,3.4011973816621555,7.222514922626272
50,USER_0050,5.153291594497779,2.833213344056216,7.214084900118871
51,USER_0051,4.890349128221754,2.0794415416798357,6.176760841645742
52,USER_0052,4.948759890378168,2.833213344056216,6.3525771301453515
53,USER_0053,4.6913478822291435,2.3978952727983707,7.373669307197585
54,USER_0054,3.58351893845611,3.4657359027997265,8.366693505259704
55,USER_0055,5.030437921392435,2.6390573296152584,7.2578767960510255
56,USER_0056,4.007333185232471,5.236441962829949,9.864946288505005
57,USER_0057,3.1354942159291497,4.174387269895637,8.381215380177064
58,USER_0058,5.247024072160486,2.3978952727983707,7.340018099475679
59,USER_0059,4.2626798770413155,3.6888794541139363,7.482135815301341
60,USER_0060,4.927253685157205,2.302585092994046,5.704082429665199
61,USER_0061,3.091042453358316,3.1354942159291497,7.950935897424202
62,USER_0062,2.4849066497880004,4.990432586778736,9.440591405193794
63,USER_0063,3.8501476017100584,2.4849066497880004,7.330706608097577
64,USER_0064,5.318119993844216,4.219507705176107,8.724264269750325
65,USER_0065,4.060443010546419,4.343805421853684,8.639093959784987
66,USER_0066,5.030437921392435,3.7612001156935624,8.014960542068266
67,USER_0067,5.087596335232384,4.31748811353631,8.37458530317616
68,USER_0068,5.717027701406222,0.6931471805599453,3.2767673032839784
69,USER_0069,4.110873864173311,3.295836866004329,8.444426780505138
70,USER_0070,4.543294782270004,2.5649493574615367,6.6121619952590205
71,USER_0071,2.833213344056216,2.772588722239781,6.701812934987702
72,USER_0072,4.927253685157205,2.302585092994046,6.3313594910066975
73,USER_0073,5.552959584921617,1.3862943611198906,5.711055958622699
74,USER_0074,4.204692619390966,2.833213344056216,6.028037527338822
75,USER_0075,5.241747015059643,3.5263605246161616,7.847207696077585
76,USER_0076,2.833213344056216,4.07753744390572,8.737611432443694
77,USER_0077,3.367295829986474,4.219507705176107,8.566550813598532
78,USER_0078,4.060443010546419,4.330733340286331,8.428173981897439
79,USER_0079,4.919980925828125,1.0986122886681098,4.174233411906258
80,USER_0080,3.970291913552122,2.833213344056216,7.77622877324029
81,USER_0081,5.247024072160486,3.9889840465642745,8.30472990251013
82,USER_0082,5.556828061699537,1.0986122886681098,3.299533727885655
83,USER_0083,4.983606621708336,2.302585092994046,7.7266977555863905
84,USER_0084,4.48863636973214,3.9512437185814275,7.971544902224346
85,USER_0085,2.6390573296152584,3.5553480614894135,8.079803885723429
86,USER_0086,4.5217885770490405,1.791759469228055,6.616319503527431
87,USER_0087,4.653960350157523,1.6094379124341003,4.786574655719562
88,USER_0088,5.332718793265369,1.0986122886681098,3.8128654338949275
89,USER_0089,3.4965075614664802,4.31748811353631,8.857579187849648
90,USER_0090,4.8283137373023015,2.3978952727983707,5.716435420779517
91,USER_0091,4.74493212836325,3.1780538303479458,7.429093451764666
92,USER_0092,3.1354942159291497,2.5649493574615367,7.198707000301541
93,USER_0093,5.159055299214529,1.791759469228055,5.455235641619455
94,USER_0094,3.4011973816621555,5.4116460518550396,9.721294587473903
95,USER_0095,3.091042453358316,4.852030263919617,9.418567626413433
96,USER_0096,4.543294782270004,4.356708826689592,9.228354145324808
97,USER_0097,5.817111159963204,2.0794415416798357,6.9122153182042245
98,USER_0098,4.204692619390966,2.772588722239781,7.239774759640453
99,USER_0099,4.382026634673881,2.302585092994046,7.432217500271037
100,USER_0100,5.236441962829949,3.4339872044851463,7.453619807392643
101,USER_0101,4.8283137373023015,3.5263605246161616,7.982433417354616
102,USER_0102,4.007333185232471,3.5263605246161616,8.032376386831297
103,USER_0103,2.4849066497880004,3.871201010907891,8.27656262969444
104,USER_0104,3.58351893845611,4.189654742026425,8.822269110025951
105,USER_0105,5.19295685089021,2.9444389791664403,7.614977933646628
106,USER_0106,4.897839799950911,2.4849066497880004,6.252539519256748
107,USER_0107,5.7899601708972535,3.2188758248682006,8.39211964444839
108,USER_0108,3.828641396489095,3.258096538021482,7.517151217079586
109,USER_0109,4.418840607796598,2.5649493574615367,6.851206091290952
110,USER_0110,4.912654885736052,2.6390573296152584,6.388494176395045
111,USER_0111,3.58351893845611,4.143134726391533,9.43275725933408
112,USER_0112,5.153291594497779,1.6094379124341003,4.632298853376344
113,USER_0113,3.7612001156935624,3.784189633918261,8.01939566556635
114,USER_0114,4.9344739331306915,1.6094379124341003,5.011701392278253
115,USER_0115,5.820082930352362,2.4849066497880004,7.4673539239134765
116,USER_0116,4.248495242049359,4.04305126783455,9.229169977020105
117,USER_0117,4.564348191467836,3.044522437723423,7.45423372006258
118,USER_0118,4.6913478822291435,6.54534966033442,11.272845422564561
119,USER_0119,5.0369526024136295,3.970291913552122,7.769995233895252
120,USER_0120,2.4849066497880004,3.6375861597263857,8.224260022725922
121,USER_0121,5.579729825986222,0.6931471805599453,3.9604321446358335
122,USER_0122,5.723585101952381,2.833213344056216,6.9059236024865
123,USER_0123,4.04305126783455,3.828641396489095,8.5857206212687
124,USER_0124,4.969813299576001,4.48863636973214,8.423752463098065
125,USER_0125,2.70805020110221,2.6390573296152584,7.191293778681034
126,USER_0126,3.4657359027997265,2.302585092994046,6.398228810947766
127,USER_0127,2.1972245773362196,3.7612001156935624,7.762213159424332
128,USER_0128,4.189654742026425,4.04305126783455,8.372849267779364
129,USER_0129,5.5093883366279774,2.70805020110221,6.721799125035035
130,USER_0130,5.8971538676367405,1.0986122886681098,4.9559678927539474
131,USER_0131,4.983606621708336,3.2188758248682006,7.733201843555567
132,USER_0132,5.365976015021851,2.8903717578961645,6.067406550683139
133,USER_0133,5.717027701406222,2.0794415416798357,6.281593623202815
134,USER_0134,4.727387818712341,2.4849066497880004,6.48270971889503
135,USER_0135,4.007333185232471,3.912023005428146,8.946538875184938
136,USER_0136,4.51085950651685,2.5649493574615367,6.953101424082346
137,USER_0137,3.295836866004329,3.6888794541139363,8.037837164519642
138,USER_0138,5.8916442118257715,4.0943445622221,8.607392149334148
